# mrk;kap;num;dos
film.vaker0o.KIN;vakerfilmo;;NULL
film.vide0o;videfilmo;;NULL
film.vide0o;videofilmo;;NULL
film.vide0o.KIN;videfilmo;;NULL
film.vide0o.KIN;videofilmo;;NULL
filodendr.0o;filodendro;;NULL
filodendr.0o.BOT;filodendro;;NULL
filogenez.0o;filogenezo;;NULL
filogenez.0o.BIO;filogenezo;;NULL
filogeni.0o;filogenio;;NULL
filogeni.0o.BIO;filogenio;;NULL
filoks.0o;filoksero;;NULL
filoks1.0oj;filokseredoj;;NULL
filolo1.0a;filologia;;NULL
filon.0o;filono;;NULL
filon.0o.BIO;filono;1;NULL
filon.0o.LIN;filono;2;NULL
filozo.0i;filozofi;;NULL
filtr.0ajxo;filtraĵo;;NULL
filtr.0igxi;filtriĝi;;NULL
filum.0o;filumo;;NULL
filum.0o.BIO;filumo;;NULL
filum.sub0o;subfilumo;;NULL
filum.sub0o.BIO;subfilumo;;NULL
filum.super0o;superfilumo;;NULL
filum.super0o.BIO;superfilumo;;NULL
fimbri.0o;fimbrilo;;NULL
fimbri.0o;fimbrio;;NULL
fimbri.0o.BOT;fimbrilo;;NULL
fimbri.0o.BOT;fimbrio;;NULL
fin.0ajxo;finaĵo;;NULL
fin.0al0a;fin-al-fina;;NULL
fin.0al0a.KOMUNE;fin-al-fina;;NULL
fin.0igxi;finiĝi;;NULL
fin.0igxo;finiĝo;;NULL
fin.0igxo.GRA;finiĝo;2;NULL
fin.0igxo.KOMUNE;finiĝo;1;NULL
fin.0ita;finita;;NULL
fin.el0i;elfini;;NULL
fin.el0i.KOMUNE;elfini;;NULL
fin.gxis0e;ĝisfine;;NULL
fin.gxis0e.KOMUNE;ĝisfine;;NULL
fin.ne0ita;nefinita;;NULL
fingr.0a;fingra;;NULL
fingr.0a.ANA;fingra;;NULL
fingr.0acxo;fingraĉo;;NULL
fingr.0acxo.KOMUNE;fingraĉo;;NULL
fingr.0o;fingro;;ekz_12
fingr.0umi;fingrumi;;NULL
fingr.0umi.KOMUNE;fingrumi;;NULL
fingr.dik0o;dika fingro;;NULL
fingr.dik0o;dikfingro;;NULL
fingr.dik0o.ANA;dika fingro;;NULL
fingr.dik0o.ANA;dikfingro;;NULL
fini.0a;finia;;NULL
fini.0o;finio;;NULL
fini.mal0a;malfinia;;NULL
fini.mal0a;nefinia;;NULL
fini.mal0o;malfinio;;NULL
fini.mal0o;nefinio;;NULL
fint.0i;finti;;NULL
fint.0i.SPO;finti;;NULL
fio.0o;fio;;NULL
fio.0o.LIN;fio;;NULL
fiol.0o;fiolo;;NULL
firm.0ajxo;firmaĵo;;NULL
firm.0ajxo.BIB;firmaĵo;2;NULL
firm.0ajxo.gxenerale;firmaĵo;1;NULL
firm.0igi;firmigi;;NULL
firm.0igi.KOMUNE;firmigi;;NULL
firm.mal0a;malfirma;;NULL
firm1.0eto;firmeto;;NULL
firm1.0eto;etfirmao;;NULL
firm1.0eto.EKON;firmeto;;NULL
firm1.0eto.EKON;etfirmao;;NULL
firm1.ek0o;ekfirmo;;NULL
firm1.ek0o;ekfirmao;;NULL
firm1.ek0o.EKON;ekfirmo;;NULL
firm1.ek0o.EKON;ekfirmao;;NULL
fisi.0o;fisio;;NULL
fisi.0o.FIZ;fisio;;NULL
fisx.0bredisto;fiŝbredisto;;NULL
fisx.0isto;fiŝisto;;NULL
fisx.0isto.komercisto;fiŝisto;2;NULL
fisx.0stango;fiŝvergo;;NULL
fisx.0stango;fiŝstango;;NULL
fisx.0vendisto;fiŝvendisto;;NULL
fisx.Flug0o;Flugfiŝo;;NULL
fisx.Flug0o.AST;Flugfiŝo;;NULL
fisx.Or0o;Orfiŝo;;NULL
fisx.Or0o.AST;Orfiŝo;;NULL
fisx.auxstralaF0o;Aŭstrala Fiŝo;;NULL
fisx.auxstralaF0o.AST;Aŭstrala Fiŝo;;NULL
fisx.barb0o;barbfiŝo;;NULL
fisx.dorn0eto;dornfiŝeto;;NULL
fisx.dorn0eto.ZOO;dornfiŝeto;;NULL
fisx.flug0o;flugfiŝo;;NULL
fisx.flug0o.ZOO;flugfiŝo;;NULL
fisx.kartilago0o;kartilagofiŝo;;NULL
fisx.kartilago0o.ZOO;kartilagofiŝo;;NULL
fisx.mar0o;marfiŝo;;NULL
fisx.mar0o.salakva;marfiŝo;;NULL
fisx.or0o;orfiŝo;;NULL
fisx.or0o.ZOO;orfiŝo;;NULL
fisx.rabo0o;rabofiŝo;;NULL
fisx.rabo0o.konduto;rabofiŝo;;NULL
fisx.river0o;riverfiŝo;;NULL
fisx.river0o.dolcxakva;riverfiŝo;;NULL
fitis.0o;fitiso;;NULL
fitoplankton.0o;fitoplanktono;;NULL
fitoplankton.0o.BIO;fitoplanktono;;NULL
fizik.kerno0o;kernofiziko;;NULL
fizik.kerno0o;nuklea fiziko;;NULL
fizik.varmo0o;varmofiziko;;NULL
fiziog.0o;fiziografio;;NULL
fiziog.0o.SCI;fiziografio;;NULL
fizionomik.0o;fiziognomiko;;NULL
fizionomik.0o.PSI;fiziognomiko;;NULL
flagel.0o;flagelo;;NULL
flagel.0o.BIO;flagelo;;NULL
flagel.0uloj;flageluloj;;NULL
flagel.0uloj.BAK;flageluloj;;NULL
flagelant.0o;flagelanto;;NULL
flagelant.0o.REL;flagelanto;;NULL
flagr.0eti;flagreti;;NULL
flagr.0eti.KOMUNE;flagreti;;NULL
flagr.0i;flagri;;NULL
flagr.0i.alterni;flagri;3;NULL
flagr.0i.flirti;flagri;2;NULL
flakur.0o;flakurtio;;NULL
flam.0a;flama;;NULL
flam.0eco;flameco;;NULL
flam.0eco.FIG;flameco;;NULL
flam.0o;flamo;;NULL
flambe.0o;flambergo;;NULL
flambe.0o.MIL;flambergo;;NULL
flamenk.0o;flamenko;;NULL
flamenk.0o.MUZ;flamenko;;NULL
flan.0o;flano;;NULL
flank.0a;flanka;;NULL
flank.0ajxo;flankaĵo;;NULL
flank.0al0e;flankalflanke;;NULL
flank.0al0e.KOMUNE;flankalflanke;;NULL
flank.0al0ekun;flankalflanke kun;;NULL
flank.0al0ekun.KOMUNE;flankalflanke kun;;NULL
flank.0e;flanke;;NULL
flank.0ede;flanke de;;NULL
flank.0o;flanko;;ekz_28
flank.0o.FIG;flanko;4;ekz_28
flank.0o.MAT;flanko;6;ekz_28
flank.0o.direkto;flanko;3;ekz_28
flank.0o.faco;flanko;2;ekz_28
flank.0o.far;flanko;5;ekz_28
flank.0o.propre;flanko;1;ekz_28
flank.0o_cxe_0o;flanko ĉe flanko;;NULL
flank.0o_cxe_0o;flank-ĉe-flanke;;NULL
flank.ambaux0a;ambaŭflanka;;NULL
flank.ambaux0a.ARG;ambaŭflanka;;NULL
flank.ambaux0e;ambaŭflanke;;NULL
flank.dis0igxi;disflankiĝi;;NULL
flank.dis0igxi.KOMUNE;disflankiĝi;;NULL
flank.dors0o;dorsflanko;;NULL
flank.dors0o;dorsa flanko;;NULL
flank.dors0o.KOMUNE;dorsflanko;;NULL
flank.dors0o.KOMUNE;dorsa flanko;;NULL
flank.patrin0a;patrinflanka;;NULL
flank.patrin0a.GEN;patrinflanka;;NULL
flank.patro0a;patroflanka;;NULL
flank.patro0a.GEN;patroflanka;;NULL
flank.sia0e;siaflanke;;NULL
flank.sia0e.KOMUNE;siaflanke;;NULL
flank.unu0a;unuflanka;;NULL
flank.unu0a.ARG;unuflanka;;NULL
flank.unu0e;unuflanke;;NULL
flank.unu0e.ARG;unuflanke;;NULL
flar.0o;flaro;;NULL
flar.0o.povo;flaro;2;NULL
flar.0o.sentado;flaro;1;NULL
flar.antaux0i;antaŭflari;;NULL
flar.cxirkaux0i;ĉirkaŭflari;;NULL
flar.en0i;enflari;;NULL
flat.0a;flata;;NULL
flat.0a.KOMUNE;flata;;NULL
flat.cxirkaux0adi;ĉirkaŭflatadi;;NULL
flat.mal0a;malflata;;NULL
flat.mal0a.KOMUNE;malflata;;NULL
flauxn.0o;flaŭno;;NULL
flauxn.0o.KUI;flaŭno;;NULL
flav.0igxo;flaviĝo;;NULL
flav.0igxo.KOMUNE;flaviĝo;1;NULL
flav.0igxo.MED;flaviĝo;2;NULL
flav.0ulo;flavulo;;NULL
fleg.0i;flegi;;NULL
flegm.0e;flegme;;NULL
flegm.0i;flegmi;;NULL
fleks.0a;fleksa;;NULL
fleks.0a.0orilata;fleksa;1;NULL
fleks.0ado;fleksado;;NULL
fleks.0ado.KOMUNE;fleksado;;NULL
fleks.0i;fleksi;;ekz_41
fleks.0i.adapti;fleksi;3;ekz_41
fleks.0igxi;fleksiĝi;;NULL
fleks.0igxi;sin fleksi;;NULL
fleks.0o;flekso;;NULL
fleks.0o.FIZ;flekso;2;NULL
fleks.0o.ago0i;flekso;3;NULL
fleks.ne0igxema;nefleksebla;;NULL
fleks.ne0igxema;nefleksiĝema;;NULL
fleks.ne0igxema.KOMUNE;nefleksebla;;NULL
fleks.ne0igxema.KOMUNE;nefleksiĝema;;NULL
fleks.trans0igxa;transfleksiĝa;;NULL
fleks.trans0igxa.MAT;transfleksiĝa;;NULL
fleks.trans0igxejo;transfleksiĝejo;;NULL
fleks.trans0igxejo.MAT;transfleksiĝejo;;NULL
fleksi.0ajxo;fleksiaĵo;;NULL
fleksi.0ilo;fleksiilo;;NULL
flibustr.0o;flibustro;;NULL
flibustr.0o.karperisto;flibustro;;NULL
flik.0acxi;flikaĉi;;NULL
flikte.0o;flikteno;;NULL
flikte.0o.MED;flikteno;;NULL
flirt.0i;flirti;;NULL
flirt.0o;flirto;;NULL
flirt.0o.FIG;flirto;;NULL
flirt.cxirkaux0i;ĉirkaŭflirti;;NULL
floem.0o;floemo;;NULL
floem.0o.BOT;floemo;;NULL
flor.0ajxo;floraĵo;;NULL
flor.0aro;floraro;;NULL
flor.0aro.BOT;floraro;;NULL
flor.0umi;florumi;;NULL
flor.0umi.KOMUNE;florumi;;NULL
flor.marto0o;martofloro;;NULL
flor.marto0o.BOT;martofloro;;NULL
flor.negxo0o;neĝofloro;;NULL
flor.negxo0o;neĝfloro;;NULL
flor.negxo0o.prujno;neĝofloro;2;NULL
flor.negxo0o.prujno;neĝfloro;2;NULL
florian.0o;Floriano;;NULL
florian.0o.NOM;Floriano;;NULL
florid.0o;Florido;;NULL
florid.0o.GEOG;Florido;;NULL
flos.0i;flosi;;NULL
flos.0i.sxvebi;flosi;3;NULL
flos.0i.transporti;flosi;1;NULL
flos.0linio;floslinio;;NULL
flu.0a;flua;;NULL
flu.0ema;fluema;;NULL
flu.0ema.facile;fluema;;NULL
flu.0emo;fluemo;;NULL
flu.0emo.FIZ;fluemo;2;NULL
flu.0emo.KOMUNE;fluemo;1;NULL
flu.for0i;forflui;;NULL
flu.for0o;forfluo;;NULL
flu.for0o.GEOG;forfluo;2;NULL
flu.inter0o;interfluo;;NULL
flu.inter0o.FIG;interfluo;;NULL
flu.kontraux0e;kontraŭflue;;NULL
flu.kontraux0e.KOMUNE;kontraŭflue;;NULL
flu.laux0e;laŭflue;;NULL
flu.laux0e.KOMUNE;laŭflue;;NULL
flu.mal0ema;malfluema;;NULL
flu.mal0ema.FIZ;malfluema;;NULL
flu.mal0emo;malfluemo;;NULL
flu.mal0emo.FIZ;malfluemo;;NULL
flug.al0i;alflugi;;NULL
flug.alte0a;altefluga;;NULL
flug.alte0a;altfluga;;NULL
flug.cxirkaux0i;ĉirkaŭflugi;;NULL
flug.cxirkaux0i.absolute;ĉirkaŭflugi;2;NULL
flug.cxirkaux0i.kun_objekto;ĉirkaŭflugi;1;NULL
flug.de0i;deflugi;;NULL
flug.for0ema;forflugema;;NULL
flug.for0ema.KOMUNE;forflugema;;NULL
flug.for0i;forflugi;;NULL
flug.surr0i;surflugi;;NULL
flug.tra0i;traflugi;;NULL
flug.tra0i.FIG;traflugi;2;NULL
flug.tra0i.fizike;traflugi;1;NULL
fluid.0igxi;fluidiĝi;;NULL
fluid.0igxi.transiri;fluidiĝi;;NULL
fluid.0o;fluido;;NULL
fluid.0o.FIZ;fluido;;NULL
fluid.mal0igi;malfluidigi;;NULL
fluid.mal0igi.FIZ;malfluidigi;;NULL
flus.0ejo;flusejo;;NULL
flus.0i;flusi;;NULL
flus.mal0i;malflusi;;NULL
flut.0isto;flutisto;;NULL
flut.pajno0o;pajnofluto;;NULL
flut.pajno0o;pajnfluto;;NULL
flut.pajno0o.MUZ;pajnofluto;;NULL
flut.pajno0o.MUZ;pajnfluto;;NULL
fobi.fremdo0o;fremdofobio;;NULL
fobi.fremdo0o.POL;fremdofobio;;NULL
fobi.hxo0o;ĥo-fobio;;NULL
focen.0o;foceno;;NULL
focen.0o.ZOO;foceno;;NULL
foj.0e;foje;;NULL
foj.ankoraux0e;ankoraŭfoje;;NULL
foj.ankoraux0e.KOMUNE;ankoraŭfoje;;NULL
foj.unua0e;unuafoje;;NULL
foj.vica0e;vicafoje;;NULL
foj.vica0e.KOMUNE;vicafoje;;NULL
fojn.0ado;fojnado;;NULL
fojn.0ado.AGR;fojnado;;NULL
fojn.post0o;postfojno;;NULL
fojn.post0o.AGR;postfojno;;NULL
foksen.0o;fokseno;;NULL
foksen.0o.ZOO;fokseno;;NULL
fokstrot.0o;fokstroto;;NULL
fokstrot.0o.danco;fokstroto;1;NULL
fokstrot.0o.muzikajxo;fokstroto;2;NULL
fokus.0i;fokusi;;NULL
fokus.0i.KOMUNE;fokusi;1;NULL
fokus.0i.koncentri;fokusi;2;NULL
fokus.en0igi;enfokusigi;;NULL
fokus.en0igi.KOMUNE;enfokusigi;;NULL
fol.0a;fola;;NULL
fol.0i;foli;;NULL
fold.0i;foldi;;NULL
fold.0o;foldo;;NULL
fold.en0igi;enfoldigi;;NULL
fold.glit0o;glitfoldo;;NULL
foli.0aro;foliaro;;NULL
foli.0aro.BOT;foliaro;1;NULL
foli.0aro.papero;foliaro;2;NULL
foli.0ero;foliero;;NULL
foli.0ero.BOT;foliero;;NULL
foli.0i;folii;;NULL
foli.0i.BOT;folii;1;NULL
foli.0igi;foliigi;;NULL
foli.0igi.TEK;foliigi;;NULL
foli.0o;folio;;ekz_35
foli.0umi;foliumi;;NULL
foli.0umi;trafolii;;NULL
foli.0umi.KOMP;foliumi;3;NULL
foli.0umi.KOMP;trafolii;3;NULL
foli.0umi.foliojn;foliumi;1;NULL
foli.0umi.foliojn;trafolii;1;NULL
foli.0umi.pagxojn;foliumi;2;NULL
foli.0umi.pagxojn;trafolii;2;NULL
foli.fal0a;falfolia;;NULL
foli.fal0a.BOT;falfolia;;NULL
foli.kartezia0o;kartezia folio;;NULL
foli.kartezia0o.MAT;kartezia folio;;NULL
foli.kontraux0o;kontraŭfolio;;NULL
foli.kontraux0o.EKON;kontraŭfolio;;NULL
foli.sen0igi;senfoliigi;;NULL
foli.sen0igi.KOMUNE;senfoliigi;;NULL
foliant.0o;folianto;;NULL
foliant.0o.TIP;folianto;;NULL
folikl.0o;foliklo;;NULL
foliol.0o;foliolo;;NULL
foliol.0o.BOT;foliolo;;NULL
folklo.0isto;folkloristo;;NULL
folklo.0isto.BELA;folkloristo;;NULL
foment.0a;fomenta;;NULL
foment.0ajxo;fomentaĵo;;NULL
foment.0i;fomenti;;NULL
foment.0o;fomento;;NULL
fon.0a;fona;;NULL
fon.0a.malgrava;fona;2;NULL
fon.0a.rilata;fona;1;NULL
fon.0o;fono;;oa_5
fond.0i;fondi;;NULL
fond.0o;fondo;;NULL
fond.0o;fondiĝo;;NULL
fond.0o.ago;fondo;;NULL
fond.0o.ago;fondiĝo;;NULL
fond.mal0i;malfondi;;NULL
fond.mal0i.POL;malfondi;;NULL
fondu.0o;fonduo;;NULL
fondu.0o.KUI;fonduo;;NULL
foneti.0o;fonetiko;;NULL
foneti1.0o;fonetismo;;NULL
fonolog.0o;fonologo;;NULL
fonolog.0o.SCI;fonologo;;NULL
fonologi.0isto;fonologiisto;;NULL
fonologi.0isto.SCI;fonologiisto;;NULL
fonologi.0o;fonologio;;NULL
fonologi.0o.SCI;fonologio;;NULL
font.0i;fonti;;NULL
font.varm0o;varmfonto;;NULL
font.varm0o;varmofonto;;NULL
font.varm0o.GEOL;varmfonto;;NULL
font.varm0o.GEOL;varmofonto;;NULL
for.00ejo;forforejo;;NULL
for.00ejo.KOMUNE;forforejo;;NULL
for.de0a;defora;;NULL
for.de0e;defore;;NULL
forges.0ema;forgesema;;NULL
forges.0ema.KOMUNE;forgesema;;NULL
forges.0o;forgeso;;NULL
forges.0o.malmemoro;forgeso;1;NULL
forges.0o.neglekto;forgeso;2;NULL
forges.mem0o;memforgeso;;NULL
forges.mem0o;sinforgeso;;NULL
forges.mem0o.PSI;memforgeso;2;NULL
forges.mem0o.PSI;sinforgeso;2;NULL
forges.mem0o.malegosimo;memforgeso;1;NULL
forges.mem0o.malegosimo;sinforgeso;1;NULL
forges.ne0umino;neforgesumino;;NULL
forges.ne0umino.BOT;neforgesumino;;NULL
forges.sen0e;senforgese;;NULL
forges.sen0e.KOMUNE;senforgese;;NULL
forgx.0ejo;forĝejo;;NULL
forgx.0ejo.TEK;forĝejo;;NULL
forgx.0isto;forĝisto;;NULL
forgx.0isto.TEK;forĝisto;;NULL
fork.0igxi;forkiĝi;;NULL
fork.0o;forko;;ekz_14
fork.0o.mangxilo;forko;1;ekz_14
fork.voj0o;vojforko;;NULL
fork.voj0o;vojoforko;;NULL
fork.voj0o.disvojigxo;vojforko;;NULL
fork.voj0o.disvojigxo;vojoforko;;NULL
form.0a;forma;;NULL
form.0a.KOMUNE;forma;;NULL
form.0ado;formado;;NULL
form.0ado.KOMUNE;formado;;NULL
form.0ajxo;formaĵo;;NULL
form.0ajxo.KOMUNE;formaĵo;;NULL
form.0i;formi;;NULL
form.0i.fari;formi;1;NULL
form.0i.konsistigi;formi;2;NULL
form.0igxi;formiĝi;;NULL
form.0igxi.KOMUNE;formiĝi;;NULL
form.0ilo;formilo;;NULL
form.0ilo;formujo;;NULL
form.0ilo.KOMUNE;formilo;;NULL
form.0ilo.KOMUNE;formujo;;NULL
form.0itajxo;formitaĵo;;NULL
form.0itajxo.KOMUNE;formitaĵo;;NULL
form.0o;formo;;ekz_15
form.0o.aspekto;formo;1;ekz_15
form.0o.bildigo;formo;6;ekz_15
form.0o.deco;formo;4;ekz_15
form.0o.ekstero;formo;3;ekz_15
form.0o.formilo;formo;5;ekz_15
form.0o.maniero;formo;2;ekz_15
form.0subforme_de;subforme de;;NULL
form.0subforme_de;sub la formo de;;NULL
form.0subforme_de.KOMUNE;subforme de;;NULL
form.0subforme_de.KOMUNE;sub la formo de;;NULL
form.al0igxi;alformiĝi;;NULL
form.al0igxi.KOMUNE;alformiĝi;;NULL
form.ali0i;aliformi;;NULL
form.ali0i;transformi;;NULL
form.ali0i;aliformigi;;NULL
form.ali0i.KOMUNE;aliformi;;NULL
form.ali0i.KOMUNE;transformi;;NULL
form.ali0i.KOMUNE;aliformigi;;NULL
form.ali0igxi;aliformiĝi;;NULL
form.ali0igxi;transformiĝi;;NULL
form.ali0igxi.KOMUNE;aliformiĝi;;NULL
form.ali0igxi.KOMUNE;transformiĝi;;NULL
form.diferenciala0o;diferenciala formo;;NULL
form.diferenciala0o.MAT;diferenciala formo;;NULL
form.hermita0o;hermita formo;;NULL
form.hermita0o.MAT;hermita formo;;NULL
form.kares0o;karesformo;;NULL
form.kares0o.KOMUNE;karesformo;;NULL
form.longo0a;longoforma;;NULL
form.longo0a;longforma;;NULL
form.longo0a.space;longoforma;;NULL
form.longo0a.space;longforma;;NULL
form.mis0i;misformi;;NULL
form.mis0i;deformi;;NULL
form.mis0i;fuŝformi;;NULL
form.mis0i;formodifekti;;NULL
form.mis0i.KOMUNE;misformi;;NULL
form.mis0i.KOMUNE;deformi;;NULL
form.mis0i.KOMUNE;fuŝformi;;NULL
form.mis0i.KOMUNE;formodifekti;;NULL
form.plen0a;plenforma;;NULL
form.plen0a.KOMUNE;plenforma;;NULL
form.re0i;reformi;;NULL
form.re0i.KOMUNE;reformi;;NULL
form.re0ismo;reformismo;;NULL
form.re0ismo.POL;reformismo;;NULL
form.re0isto;reformisto;;NULL
form.re0isto.ESP;reformisto;2;NULL
form.re0isto.POL;reformisto;1;NULL
form.sam0i;samformi;;NULL
form.sam0i.KOMUNE;samformi;;NULL
form.sam0igxi;samformiĝi;;NULL
form.sam0igxi.KOMUNE;samformiĝi;;NULL
form.trans0ismo;transformismo;;NULL
form.trans0ismo.FIL;transformismo;;NULL
form.trans0o;transformo;;NULL
form.trans0o.KOMUNE;transformo;1;NULL
form.trans0o.MAT;transformo;2;NULL
form.vivo0o;vivoformo;;NULL
form.vivo0o.BIO;vivoformo;2;NULL
form.vivo0o.KOMUNE;vivoformo;1;NULL
form.x0a;-forma;;NULL
form.x0a.KOMUNE;-forma;;NULL
formal.mal0a;malformala;;NULL
formal.mal0a;neformala;;NULL
formal.mal0a.KOMUNE;malformala;;NULL
formal.mal0a.KOMUNE;neformala;;NULL
formik.0aro;formikaro;;NULL
formik.0aro.ZOO;formikaro;;NULL
formik.0o;formiko;;NULL
formik.0o.genro;formiko;2;NULL
formik.sklaviga0o;sklaviga formiko;;NULL
formik.sklaviga0o.ZOO;sklaviga formiko;;NULL
formiked.0oj;formikedoj;;NULL
formin.0o;formingo;;NULL
formoz.0o;Formozo;;NULL
formul.0aro;formularo;;NULL
formul.0aro.POL;formularo;2;NULL
formul.0aro.derivita;formularo;1;NULL
formul.sorcx0o;sorĉformulo;;NULL
formul.sorcx0o;magia formulo;;NULL
forn.alt0o;altforno;;NULL
forn.bak0o;bakforno;;NULL
forn.bak0o.TEK;bakforno;;NULL
forn.hejto0o;hejtoforno;;NULL
forn.hejto0o;hejtforno;;NULL
forn.hejto0o.HEJM;hejtoforno;;NULL
forn.hejto0o.HEJM;hejtforno;;NULL
forn.kuir0o;kuirforno;;NULL
forn.kuir0o.KUI;kuirforno;;NULL
fornik.0o;fornikso;;NULL
fort.0e;forte;;NULL
fort.0e.maniero;forte;1;NULL
fort.0e.multe;forte;2;NULL
fort.0ega;fortega;;NULL
fort.0ega.KOMUNE;fortega;;NULL
fort.0igi;fortigi;;NULL
fort.0igi;plifortigi;;NULL
fort.cxiu0e;ĉiuforte;;NULL
fort.cxiu0e;per ĉiuj fortoj;;NULL
fort.cxiu0e;per la tuta forto;;NULL
fort.cxiu0e.KOMUNE;ĉiuforte;;NULL
fort.cxiu0e.KOMUNE;per ĉiuj fortoj;;NULL
fort.cxiu0e.KOMUNE;per la tuta forto;;NULL
fort.elektromova0o;elektromova forto;;NULL
fort.elektromova0o.ELE;elektromova forto;;NULL
fort.inerto0o;inertoforto;;NULL
fort.inerto0o;inercia forto;;NULL
fort.mal0ajxo;malfortaĵo;;NULL
fort.mal0ajxo;malforteco;;NULL
fort.mal0ajxo.KOMUNE;malfortaĵo;;NULL
fort.mal0ajxo.KOMUNE;malforteco;;NULL
fort.mal0igi;malfortigi;;NULL
fort.mal0igi.KOMUNE;malfortigi;;NULL
fort.mal0igxi;malfortiĝi;;NULL
fort.mal0igxi;senfortiĝi;;NULL
fort.mal0igxi.KOMUNE;malfortiĝi;;NULL
fort.mal0igxi.KOMUNE;senfortiĝi;;NULL
fort.per0i;perforti;;NULL
fort.per0i.KOMUNE;perforti;;NULL
fort.per0o;perforto;;NULL
fort.per0o.KOMUNE;perforto;;NULL
fort.per0ulo;perfortulo;;NULL
fort.per0ulo.KOMUNE;perfortulo;;NULL
fort.seksper0i;seksperforti;;NULL
fort.seksper0i.AMOR;seksperforti;;NULL
fort.sen0a;senforta;;NULL
fort.super0i;superforti;;NULL
fort.super0i.KOMUNE;superforti;;NULL
fort.super0o;superforto;;NULL
fort.super0o.JUR;superforto;3;NULL
fort.super0o.avantagxo;superforto;1;NULL
fort.super0o.per0o;superforto;2;NULL
fortalez.0o;Fortalezo;;NULL
fortik.0a;fortika;;NULL
fortik.0a.FIG;fortika;2;NULL
fortik.0ajxo;fortikaĵo;;uv_F
fortik.0ajxo.remparo;fortikaĵo;2;uv_F
fortik.al0igi;alfortikigi;;NULL
fortik.al0igi.KOMUNE;alfortikigi;;NULL
fortik.cxirkaux0ajxo;ĉirkaŭfortikaĵo;;NULL
fortik.cxirkaux0ajxo.ARKI;ĉirkaŭfortikaĵo;;NULL
fortik.lim0ajxo;limfortikaĵo;;NULL
fortik.mal0a;malfortika;;NULL
fortik.mal0a.KOMUNE;malfortika;;NULL
fortres.0o;fortreso;;NULL
fortun.0i;fortuni;;NULL
fortun.0i.al_iu;fortuni;;NULL
fortunat.0o;Fortunato;;NULL
fortunat.0o.NOM;Fortunato;;NULL
fos.cxirkaux0i;ĉirkaŭfosi;;NULL
fos.cxirkaux0i.KOMUNE;ĉirkaŭfosi;;NULL
fos.dis0i;disfosi;;NULL
fos.dis0i.KOMUNE;disfosi;;NULL
fos.el0ado;elfosado;;NULL
fos.el0ado.ARKE;elfosado;;NULL
fos.pri0ado;prifosado;;NULL
fos.pri0ado.ARKE;prifosado;;NULL
fos.tra0i;trafosi;;NULL
fos.tra0i.KOMUNE;trafosi;;NULL
fos.urgxapri0ado;urĝa prifosado;;NULL
fos.urgxapri0ado.ARKE;urĝa prifosado;;NULL
fosf.0o;fosfo;;NULL
fosfat1.0o;fosfaturio;;NULL
fosfor1.0a;fosforeska;;NULL
fosfor1.0i;fosforeski;;NULL
fosfor1.0o;fosforesko;;NULL
fosfor2.0o;fosforito;;NULL
fosfor2.0o.MIN;fosforito;;NULL
fot.0ajxo;fotaĵo;;NULL
fot.0ajxo.FOT;fotaĵo;;NULL
fot.tuj0ilo;tujfotilo;;NULL
fot.tuj0ilo.FOT;tujfotilo;;NULL
fotogr2.0i;fotogravuri;;NULL
fotokopi.0i;fotokopii;;NULL
fotokopi.0i.TIP;fotokopii;;NULL
fotokopi.0ilo;fotokopiilo;;NULL
fotokopi.0ilo.TIP;fotokopiilo;;NULL
fotokopi.0o;fotokopio;;NULL
fotokopi.0o.TIP;fotokopio;;NULL
fotoliz.0i;fotolizi;;NULL
fotoliz.0i.KEM;fotolizi;;NULL
fotoliz.0o;fotolizo;;NULL
fotoliz.0o.KEM;fotolizo;;NULL
fotosintez.0o;fotosintezo;;NULL
fotosintez.0o.BOT;fotosintezo;;NULL
fragme.0o;fragmento;;NULL
fragmi.0ejo;fragmitejo;;NULL
frak.0ulo;frakulo;;NULL
frakas.0igxi;frakasiĝi;;NULL
frakas.0igxi;sin frakasi;;NULL
frakas.0igxi.KOMUNE;frakasiĝi;;NULL
frakas.0igxi.KOMUNE;sin frakasi;;NULL
frakci.0a;frakcia;;NULL
frakci.0igi;frakciigi;;NULL
frakci.0igxi;frakciiĝi;;NULL
frakci.0o;frakcio;;NULL
frakci.0o.SCI;frakcio;2;NULL
frakci.cxen0o;ĉenfrakcio;;NULL
frakci.cxen0o;ĉena frakcio;;NULL
frakci.pozicia0o;pozicia frakcio;;NULL
frakci.racionala0o;racionala frakcio;;NULL
fraktal.0o;fraktalo;;NULL
fram.0o;framo;;oa_9
fram.0o.FIG;framo;2;oa_9
fram.0o.TEK;framo;1;oa_9
francxiz.0o;franĉizo;;NULL
francxiz.0o.EKON_asekuro;franĉizo;1;NULL
francxiz.0o.EKON_komerco;franĉizo;2;NULL
frand.0inda;frandinda;;NULL
frand.0inda.KOMUNE;frandinda;;NULL
frankfurt.0a;frankfurta;;NULL
frap.0;frap;;NULL
frap.0.SON;frap;;NULL
frap.0a;frapa;;NULL
frap.okul0a;okulfrapa;;NULL
frap.okul0a;okulfrapanta;;NULL
frap.okul0a.KOMUNE;okulfrapa;;NULL
frap.okul0a.KOMUNE;okulfrapanta;;NULL
frap.orel0a;orelfrapa;;NULL
frap.orel0a.KOMUNE;orelfrapa;;NULL
frap.pied0i;piedfrapi;;NULL
frap.sun0o;sunfrapo;;NULL
