ja;ja.0;实则[shí zé]
ja;ja.0;实际上[shí jì shàng]
ja;ja.0;敢情[gǎn qing]
ja;ja.0;信然[xìn rán]
hiacinto;jacint.0o;橘紅色[jú hóng sè]
hiacinto;jacint.0o;風信子石[fēng xìn zǐ shí]
jado;jad.0o;玉[yù]
jado;jad.0o;珃[rǎn]
jado;jad.0o;珔[jiàn]
jado;jad.0o;珖[guāng]
jado;jad.0o;琇[xiù]
jado;jad.0o;琨[kūn]
jado;jad.0o;琭[lù]
jado;jad.0o;瑁[mào]
jado;jad.0o;瑏[chuān]
jado;jad.0o;瑭[táng]
Jafo;jaf.0o;雅法港[Yǎ fǎ gǎng]
Jafo;jaf.0o;雅法[yǎ fǎ]
jaguaro;jaguar.0o;美洲虎[měi zhōu hǔ]
jaguaro;jaguar.0o;美洲虎[Měi zhōu hǔ]
jaguaro;jaguar.0o;美洲豹[měi zhōu bào]
jaguaro;jaguar.0o;美洲豹[Měi zhōu bào]
jogurto;jahurt.0o;酸奶[suān nǎi]
jogurto;jahurt.0o;酸乳[suān rǔ]
jogurto;jahurt.0o;酸乳酪[suān rǔ lào]
jogurto;jahurt.0o;优格[yōu gé]
jogurto;jahurt.0o;优酪乳[yōu luò rǔ]
jakto;jahxt.0o;游艇[yóu tǐng]
jaketo;jak.0eto;外套[wài tào]
jaketo;jak.0eto;袄[ǎo]
jaketo;jak.0eto;袄子[ǎo zi]
jaketo;jak.0eto;襦[rú]
jako;jak.0o;上衣[shàng yī]
jako;jak.0o;夹克[jiā kè]
jako;jak.0o;袄[ǎo]
jako;jak.0o;外衣[wài yī]
trikita jako;jak.trikita_0o;开襟衫[kāi jīn shān]
trikita jako;jak.trikita_0o;毛衣[máo yī]
trikita jako;jak.trikita_0o;开襟羊毛衫[kāi jīn yáng máo shān]
Jakob;jakob.0o;加科布[jiā kē bù]
Jakob;jakob.0o;詹姆士[zhān mǔ shì]
Jakob;jakob.0o;雅各[yǎ gè]
Jakob;jakob.0o;傑客[jié kè]
jakvujo;jakv.0arbo;木菠萝[mù bō luó]
jakvujo;jakv.0arbo;面包果[miàn bāo guǒ]
jakvujo;jakv.0arbo;菠萝蜜[bō luó mì]
